tau,ell,EE/EE_planck
0.0261,2,0.3910599568396187
0.0314,2,0.49799191184394875
0.0366,2,0.604072186471941
0.0419,2,0.7134031085599618
0.0472,2,0.8209307510402332
0.0524,2,0.9257379418890582
0.0561,2,1.0
0.0629,2,1.134887745900607
0.0682,2,1.2358364942554372
0.0735,2,1.336701565741608
0.0787,2,1.43403644911281
0.084,2,1.530199495119654
0.0893,2,1.6260526885558955
0.0945,2,1.7172418090000983
0.0998,2,1.8100553520565752
0.105,2,1.8979014096590603
0.1103,2,1.9875312658755069
0.1156,2,2.074666804066917
0.1208,2,2.1581206452081143
0.1261,2,2.243554801989403
0.0261,3,0.2199808476054457
0.0314,3,0.3276497793924611
0.0366,3,0.44999816663124015
0.0419,3,0.5879129305152045
0.0472,3,0.7358871444710176
0.0524,3,0.8882857192057015
0.0561,3,1.0
0.0629,3,1.2106446703979958
0.0682,3,1.3779693064941507
0.0735,3,1.5470439535582223
0.0787,3,1.7138425443025487
0.084,3,1.8846051571802407
0.0893,3,2.0547686259763736
0.0945,3,2.222069480675246
0.0998,3,2.3917712849709556
0.105,3,2.557045890739125
0.1103,3,2.724519328021954
0.1156,3,2.891204812430568
0.1208,3,3.0529595383546417
0.1261,3,3.216729784949198
0.0261,4,0.13331639966525027
0.0314,4,0.2214983625010205
0.0366,4,0.337775131593457
0.0419,4,0.4851137389386445
0.0472,4,0.6586815038835749
0.0524,4,0.8512466819892269
0.0561,4,1.0
0.0629,4,1.295325382217015
0.0682,4,1.5418843661309547
0.0735,4,1.8003289127715068
0.0787,4,2.0634028822994614
0.084,4,2.3400902149208447
0.0893,4,2.6226860407272636
0.0945,4,2.906325887160547
0.0998,4,3.19971874682511
0.105,4,3.490189349702483
0.1103,4,3.789134253137003
0.1156,4,4.0910288928532665
0.1208,4,4.387535086847327
0.1261,4,4.691332198669566
0.0261,5,0.10470694937645987
0.0314,5,0.16903793572250886
0.0366,5,0.26671472150641184
0.0419,5,0.4073569803793262
0.0472,5,0.5919835932914563
0.0524,5,0.8158446160791643
0.0561,5,1.0
0.0629,5,1.3896839842353876
0.0682,5,1.735392924296846
0.0735,5,2.114439270077739
0.0787,5,2.515448170150119
0.084,5,2.9517449827376283
0.0893,5,3.4106327509211285
0.0945,5,3.8837257387955555
0.0998,5,4.38441050102241
0.105,5,4.890934793578412
0.1103,5,5.422176126349547
0.1156,5,5.967809234805413
0.1208,5,6.512621021643563
0.1261,5,7.0788006189465085
0.0261,6,0.13478022727916347
0.0314,6,0.18298522489559083
0.0366,6,0.259831997397995
0.0419,6,0.38112173930671644
0.0472,6,0.5574636356353763
0.0524,6,0.7924467458632184
0.0561,6,1.0
0.0629,6,1.4730677527745333
0.0682,6,1.9240814836941063
0.0735,6,2.445991705841819
0.0787,6,3.0242902126415734
0.084,6,3.6795878590002187
0.0893,6,4.394075864665
0.0945,6,5.154397413343119
0.0998,6,5.9820925470855935
0.105,6,6.841015897309776
0.1103,6,7.76260096088991
0.1156,6,8.72932472065137
0.1208,6,9.713046077987082
0.1261,6,10.753180887177638
0.0261,7,0.2372403527073587
0.0314,7,0.28238395793501103
0.0366,7,0.3478544117503787
0.0419,7,0.44720081630245045
0.0472,7,0.5950539083287905
0.0524,7,0.8040201450820602
0.0561,7,1.0
0.0629,7,1.4810071025611358
0.0682,7,1.9762721872122637
0.0735,7,2.58534039441504
0.0787,7,3.297357613094619
0.084,7,4.143452027836291
0.0893,7,5.106153719927076
0.0945,7,6.169756861927815
0.0998,7,7.367337083266949
0.105,7,8.64814806191374
0.1103,7,10.060420608494562
0.1156,7,11.579378132866706
0.1208,7,13.160185036979486
0.1261,7,14.86650253643132
0.0261,8,0.3941320180065196
0.0314,8,0.4385164071534864
0.0366,8,0.5007234237581649
0.0419,8,0.5864528772659536
0.0472,8,0.7019520391355321
0.0524,8,0.8563798621193192
0.0561,8,1.0
0.0629,8,1.3622721631520343
0.0682,8,1.7551208008333665
0.0735,8,2.2648607338506266
0.0787,8,2.8933566096989343
0.084,8,3.6791493468778578
0.0893,8,4.616321728158657
0.0945,8,5.697054182877703
0.0998,8,6.9620111746981435
0.105,8,8.363538518808571
0.1103,8,9.959005738547868
0.1156,8,11.726276237165731
0.1208,8,13.61516382510837
0.1261,8,15.704052808066331
0.0261,9,0.5345809199869637
0.0314,9,0.569103755652243
0.0366,9,0.6204101079081261
0.0419,9,0.6929583074671943
0.0472,9,0.7869777392328089
0.0524,9,0.9019152196943947
0.0561,9,1.0
0.0629,9,1.2283926476413842
0.0682,9,1.4654657838655512
0.0735,9,1.7729764537679193
0.0787,9,2.1605819614643575
0.084,9,2.6619300995177637
0.0893,9,3.284402574146383
0.0945,9,4.0319120501230525
0.0998,9,4.942800064063971
0.105,9,5.990812269504978
0.1103,9,7.227185612479533
0.1156,9,8.643028040573713
0.1208,9,10.202946559875649
0.1261,9,11.977529932433068
0.0261,10,0.6456771742935061
0.0314,10,0.6680168771783541
0.0366,10,0.7039233441315303
0.0419,10,0.7571478053593483
0.0472,10,0.8304343164431579
0.0524,10,0.9226009689337156
0.0561,10,1.0
0.0629,10,1.1676516425791652
0.0682,10,1.323894370037103
0.0735,10,1.509435980281649
0.0787,10,1.7294236597582349
0.084,10,2.0054421687550206
0.0893,10,2.3460974215737522
0.0945,10,2.7602727618599645
0.0998,10,3.2765469047861835
0.105,10,3.8879916964383567
0.1103,10,4.632119357180433
0.1156,10,5.512272199806347
0.1208,10,6.512944526343306
0.1261,10,7.685959987641591
0.0261,11,0.7491301746951008
0.0314,11,0.7613786173463021
0.0366,11,0.7848973343637765
0.0419,11,0.8209829601575466
0.0472,11,0.8716729174532539
0.0524,11,0.9396048862671587
0.0561,11,1.0
0.0629,11,1.1365677108486392
0.0682,11,1.2634482040076047
0.0735,11,1.4066370333903482
0.0787,11,1.5632972219079873
0.084,11,1.7430581816569464
0.0893,11,1.9480942814831967
0.0945,11,2.1831219290332777
0.0998,11,2.4661862872183735
0.105,11,2.7964149896347585
0.1103,11,3.1989934750861786
0.1156,11,3.680914530060248
0.1208,11,4.239190788797101
0.1261,11,4.9090064582326125
0.0261,12,0.8381955875455647
0.0314,12,0.8422548703749904
0.0366,12,0.8561196048676508
0.0419,12,0.8805071996298292
0.0472,12,0.9145193899243481
0.0524,12,0.9591392817016968
0.0561,12,1.0
0.0629,12,1.0992013850936275
0.0682,12,1.1991669043995385
0.0735,12,1.3174399967030102
0.0787,12,1.448588835900966
0.084,12,1.5956487357227085
0.0893,12,1.7543999340794136
0.0945,12,1.9233209661261281
0.0998,12,2.11087989318318
0.105,12,2.3139293736107245
0.1103,12,2.5469071441391096
0.1156,12,2.8141896912309368
0.1208,12,3.1160142050417234
0.1261,12,3.4743649309916917
0.0261,13,0.9010178031173206
0.0314,13,0.8991367942304362
0.0366,13,0.9044051421906142
0.0419,13,0.9195662357937056
0.0472,13,0.9434368722061474
0.0524,13,0.9738132509152675
0.0561,13,1.0
0.0629,13,1.0627832118054203
0.0682,13,1.1294680507012502
0.0735,13,1.214553327362384
0.0787,13,1.3157448479989482
0.084,13,1.4355381603925421
0.0893,13,1.5689582499877937
0.0945,13,1.7113588845335415
0.0998,13,1.8657430507757373
0.105,13,2.024986328218716
0.1103,13,2.1963440002169397
0.1156,13,2.37878343349557
0.1208,13,2.5705549463430244
0.1261,13,2.7843030437701106
0.0261,14,0.9427065370301134
0.0314,14,0.9371173830699789
0.0366,14,0.9360467610776271
0.0419,14,0.9424116002731784
0.0472,14,0.9580939984004054
0.0524,14,0.98079229534627
0.0561,14,1.0
0.0629,14,1.041388274521779
0.0682,14,1.0822828499001351
0.0735,14,1.1349988535796038
0.0787,14,1.2012591478363754
0.084,14,1.2853661289318055
0.0893,14,1.3859759997725563
0.0945,14,1.499634904416011
0.0998,14,1.62843631023638
0.105,14,1.764332578564771
0.1103,14,1.9111283050441235
0.1156,14,2.064754299306278
0.1208,14,2.220077707226686
0.1261,14,2.384377256089543
0.0261,15,0.9752867697999098
0.0314,15,0.967464496489345
0.0366,15,0.9626032014196529
0.0419,15,0.9620331697491805
0.0472,15,0.9690846227365442
0.0524,15,0.9847234871136823
0.0561,15,1.0
0.0629,15,1.0331951250165514
0.0682,15,1.062220088856688
0.0735,15,1.0956108077528406
0.0787,15,1.135491429812814
0.084,15,1.1870588024122866
0.0893,15,1.2518541107331569
0.0945,15,1.3303202340503326
0.0998,15,1.4250299537315536
0.105,15,1.531388979747774
0.1103,15,1.651918073977438
0.1156,15,1.782837870895151
0.1208,15,1.9185591792009395
0.1261,15,2.0629753113638034
0.0261,16,1.0037568260151788
0.0314,16,0.9946520492532204
0.0366,16,0.9873872622492498
0.0419,16,0.9827140230580574
0.0472,16,0.9824593844919209
0.0524,16,0.9897050062307093
0.0561,16,1.0
0.0629,16,1.027506513301064
0.0682,16,1.0530528746205183
0.0735,16,1.0801510052589676
0.0787,16,1.108360751906912
0.084,16,1.1406382689580588
0.0893,16,1.1796717143654964
0.0945,16,1.2271101473625343
0.0998,16,1.2874437754097983
0.105,16,1.358928759791749
0.1103,16,1.4454456777942786
0.1156,16,1.545072170705922
0.1208,16,1.6536072848854462
0.1261,16,1.774668648428831
0.0261,17,1.02586971165156
0.0314,17,1.0160512754124398
0.0366,17,1.0075675647770934
0.0419,17,1.0005316023834119
0.0472,17,0.9958847092306238
0.0524,17,0.9957635714006929
0.0561,17,1.0
0.0629,17,1.0183491892577032
0.0682,17,1.0404222489416712
0.0735,17,1.0659867690255789
0.0787,17,1.0919553108332318
0.084,17,1.1186842324663218
0.0893,17,1.1461959212691097
0.0945,17,1.1762610591415918
0.0998,17,1.2122262435082285
0.105,17,1.2552344123099863
0.1103,17,1.3088627009210754
0.1156,17,1.3740333765251724
0.1208,17,1.4492903525640668
0.1261,17,1.5377494266077056
0.0261,18,1.0399028411721858
0.0314,18,1.0297111487800135
0.0366,18,1.0205498428143993
0.0419,18,1.0121831287209306
0.0472,18,1.0052257404121732
0.0524,18,1.000662085747515
0.0561,18,1.0
0.0629,18,1.007342969098511
0.0682,18,1.0220720387226097
0.0735,18,1.0433301295683914
0.0787,18,1.0679454880390569
0.084,18,1.094613036094188
0.0893,18,1.1209262673228342
0.0945,18,1.1466177626877454
0.0998,18,1.1731178209904625
0.105,18,1.2013418454656182
0.1103,18,1.2341565145940434
0.1156,18,1.2734625432118167
0.1208,18,1.3196972184561746
0.1261,18,1.3760410065700404
0.0261,19,1.0475465649505038
0.0314,19,1.0371555593853774
0.0366,19,1.0276081779802284
0.0419,19,1.018610206769127
0.0472,19,1.0105028949094095
0.0524,19,1.0037301739746873
0.0561,19,1.0
0.0629,19,0.9980300910069267
0.0682,19,1.003959688753139
0.0735,19,1.017828200230115
0.0787,19,1.0382742687472633
0.084,19,1.0638077503846481
0.0893,19,1.0914239285348484
0.0945,19,1.1185348985611774
0.0998,19,1.145048133440708
0.105,19,1.1697397884486653
0.1103,19,1.1945592822789928
0.1156,19,1.2205744551561075
0.1208,19,1.2486186891696505
0.1261,19,1.281961941174819
0.0261,20,1.0512954204893996
0.0314,20,1.0407443483520862
0.0366,20,1.0309978659725092
0.0419,20,1.0217674245482433
0.0472,20,1.0129965799336587
0.0524,20,1.005079748851066
0.0561,20,1.0
0.0629,20,0.9929127378377373
0.0682,20,0.991728959161117
0.0735,20,0.9968757253984489
0.0787,20,1.009202993613074
0.084,20,1.0286009584172369
0.0893,20,1.0533528877655534
0.0945,20,1.0805472964085474
0.0998,20,1.1092007852657406
0.105,20,1.1364238147383565
0.1103,20,1.162737891264409
0.1156,20,1.1876144523772585
0.1208,20,1.2109620252512774
0.1261,20,1.2352323563747172
0.0261,21,1.0530231867508422
0.0314,21,1.0423295530459962
0.0366,21,1.032431898098057
0.0419,21,1.0231093774785402
0.0472,21,1.014038334434721
0.0524,21,1.0055678309105964
0.0561,21,1.0
0.0629,21,0.9907502173389121
0.0682,21,0.985101919973616
0.0735,21,0.9829374355485393
0.0787,21,0.9864234918438793
0.084,21,0.9969306063219219
0.0893,21,1.014734748871695
0.0945,21,1.0381626349351776
0.0998,21,1.066250884059552
0.105,21,1.0957080877127785
0.1103,21,1.1259375684448971
0.1156,21,1.1550258783977043
0.1208,21,1.1815393188955048
0.1261,21,1.2066816025247318
0.0261,22,1.0541192009309328
0.0314,22,1.0433067063660928
0.0366,22,1.0332045502180236
0.0419,22,1.0237314211114503
0.0472,22,1.0146695498889582
0.0524,22,1.0059795489988606
0.0561,22,1.0
0.0629,22,0.989725588850831
0.0682,22,0.9822826556506155
0.0735,22,0.9762675673137733
0.0787,22,0.9735176456626604
0.084,22,0.975642287707587
0.0893,22,0.9843724133234555
0.0945,22,0.9997800312226462
0.0998,22,1.021877302016651
0.105,22,1.0483714899295067
0.1103,22,1.0786215210186594
0.1156,22,1.1102753550254318
0.1208,22,1.141032070633976
0.1261,22,1.1711085811408795
0.0261,23,1.0548578136412903
0.0314,23,1.0439588928872408
0.0366,23,1.0336598863212367
0.0419,23,1.023939073329853
0.0472,23,1.014894243905784
0.0524,23,1.0062204623771358
0.0561,23,1.0
0.0629,23,0.9891937190564221
0.0682,23,0.9812748303945272
0.0735,23,0.973817504082004
0.0787,23,0.9676371330061673
0.084,23,0.9637053286375719
0.0893,23,0.9641721018167041
0.0945,23,0.9703923707797727
0.0998,23,0.9834709293366577
0.105,23,1.002745403102787
0.1103,23,1.0282407847675077
0.1156,23,1.0581396793619258
0.1208,23,1.0900519676684215
0.1261,23,1.1237461724485687
0.0261,24,1.055318305244113
0.0314,24,1.044368758240361
0.0366,24,1.03394921673165
0.0419,24,1.0239059395306918
0.0472,24,1.0146348673435754
0.0524,24,1.0061073147303385
0.0561,24,1.0
0.0629,24,0.9888955270064637
0.0682,24,0.9805452079713224
0.0735,24,0.9725419244485362
0.0787,24,0.9650634728478968
0.084,24,0.9582690409596092
0.0893,24,0.9536251908563699
0.0945,24,0.9526633414116279
0.0998,24,0.9568930166402541
0.105,24,0.967058418211038
0.1103,24,0.9839787993633082
0.1156,24,1.0070870210812475
0.1208,24,1.034712852521206
0.1261,24,1.0667922672194396
0.0261,25,1.0558743129536956
0.0314,25,1.0448914379779581
0.0366,25,1.0343869505187155
0.0419,25,1.0240522248860744
0.0472,25,1.014438291633594
0.0524,25,1.0058978887450052
0.0561,25,1.0
0.0629,25,0.9889141495113362
0.0682,25,0.9802648840019513
0.0735,25,0.9720003102897218
0.0787,25,0.9641770089242466
0.084,25,0.9564699301593037
0.0893,25,0.949413072059608
0.0945,25,0.9440120476520141
0.0998,25,0.9415061028491821
0.105,25,0.9433540400175665
0.1103,25,0.9508463270371345
0.1156,25,0.9646753764309763
0.1208,25,0.9842592187466607
0.1261,25,1.010037451951149
0.0261,26,1.0568220317527162
0.0314,26,1.0458043257420153
0.0366,26,1.035203989936378
0.0419,26,1.02469540871574
0.0472,26,1.0147896512832704
0.0524,26,1.0058717377215503
0.0561,26,1.0
0.0629,26,0.989282184692947
0.0682,26,0.9807438373153455
0.0735,26,0.9722418821413692
0.0787,26,0.9640591215659686
0.084,26,0.9559714605211183
0.0893,26,0.9481263502342935
