ell,tau,EE,TE,TT
50,0.0355,6.232357264210432e-17,-7.879984900436363e-16,6.343487341610831e-13
2,0.0393,4.548174749367148e-15,5.564505858709436e-13,2.9305072416591466e-10
3,0.0393,2.122833276251113e-15,2.0601179266434571e-13,1.256481585157041e-10
4,0.0393,8.741986194362487e-16,9.601108205483082e-14,7.001271134148366e-11
5,0.0393,3.286600962964096e-16,4.843688008016481e-14,4.481563700733416e-11
6,0.0393,1.3227187724685393e-16,2.5311862834835663e-14,3.119923503240601e-11
7,0.0393,7.156676971837033e-17,1.3742346952522516e-14,2.3025514764879794e-11
8,0.0393,5.2149387732846674e-17,7.941650763509943e-15,1.7737360741071504e-11
9,0.0393,4.372365248364673e-17,5.053038543706571e-15,1.411481048005282e-11
10,0.0393,3.924565642946471e-17,3.613095389102225e-15,1.15186664391554e-11
11,0.0393,3.6961444108054757e-17,2.869742261646425e-15,9.595551698723636e-12
12,0.0393,3.58700266814161e-17,2.4488824466338923e-15,8.127450287829723e-12
13,0.0393,3.538672949915453e-17,2.1738546028240475e-15,6.981196403470007e-12
14,0.0393,3.528608034698277e-17,1.967453044799857e-15,6.0683794759331e-12
15,0.0393,3.548128615429606e-17,1.8009719939994863e-15,5.3298300216417636e-12
16,0.0393,3.586610962923891e-17,1.665347694010367e-15,4.722389950560973e-12
17,0.0393,3.636737104561444e-17,1.5528649958271173e-15,4.217551954938261e-12
18,0.0393,3.6936730432764544e-17,1.4572010188607035e-15,3.792157764023118e-12
19,0.0393,3.755139669630304e-17,1.3724252121916378e-15,3.4308915945546364e-12
20,0.0393,3.81958970439844e-17,1.292808210136603e-15,3.1212184210555143e-12
21,0.0393,3.8860468465700033e-17,1.213539231424445e-15,2.8539420829048835e-12
22,0.0393,3.9538934071282646e-17,1.131097454729491e-15,2.62125311101499e-12
23,0.0393,4.0233751668193216e-17,1.0462033140958304e-15,2.4175499375741226e-12
24,0.0393,4.094827705618769e-17,9.606823236919868e-16,2.2380643048773416e-12
25,0.0393,4.168082330657344e-17,8.765390628144595e-16,2.079153294370748e-12
26,0.0393,4.242880958948534e-17,7.953626425662228e-16,1.9376308326036136e-12
27,0.0393,4.319112219881673e-17,7.169012361481642e-16,1.8110128873868437e-12
28,0.0393,4.396676574795971e-17,6.404481354603983e-16,1.69714296145657e-12
29,0.0393,4.4753751004542826e-17,5.653180451020207e-16,1.594472655988197e-12
30,0.0393,4.5549840274753764e-17,4.908310228468731e-16,1.5016055967669488e-12
31,0.0393,4.6353193056979096e-17,4.1650993431357954e-16,1.417232419301445e-12
32,0.0393,4.7163557618401106e-17,3.4268887649989265e-16,1.3403917979938945e-12
33,0.0393,4.7981079418401e-17,2.6990475424834753e-16,1.2702094169699028e-12
34,0.0393,4.880548642987993e-17,1.98599234807234e-16,1.2058628425529167e-12
35,0.0393,4.963483667981891e-17,1.2883303504786395e-16,1.1467371698577465e-12
36,0.0393,5.046677070871892e-17,6.057163424730622e-17,1.092269376197043e-12
37,0.0393,5.129920870671786e-17,-6.230890017467098e-18,1.0419332406311317e-12
38,0.0393,5.2131189462501386e-17,-7.166606696986078e-17,9.953497492110311e-13
39,0.0393,5.296203141439206e-17,-1.3583682753337477e-16,9.521766897354336e-13
40,0.0393,5.3791053000712446e-17,-1.9884610263150861e-16,9.120718500030315e-13
41,0.0393,5.461760891555644e-17,-2.6079494596158184e-16,8.747156110945246e-13
42,0.0393,5.544119887610321e-17,-3.217769023161912e-16,8.398787272186427e-13
43,0.0393,5.626135885530325e-17,-3.8188363926175255e-16,8.073545458661235e-13
44,0.0393,5.707762482610704e-17,-4.412068243646819e-16,7.769364145277043e-13
45,0.0393,5.788946053864962e-17,-4.998154907430617e-16,7.484300547237717e-13
46,0.0393,5.869604085180417e-17,-5.5768813372164e-16,7.216906840933097e-13
47,0.0393,5.94964684016284e-17,-6.147806141768317e-16,6.965858943049515e-13
48,0.0393,6.028984582418003e-17,-6.710487929850504e-16,6.729832770273303e-13
49,0.0393,6.107527575551675e-17,-7.264485310227116e-16,6.507504239290791e-13
50,0.0393,6.185183332931335e-17,-7.809326151043572e-16,6.297647882220655e-13
2,0.043,5.070312388096431e-15,5.617993904703385e-13,2.928778971652914e-10
3,0.043,2.5281155936286487e-15,2.117237205108455e-13,1.2554890705789728e-10
4,0.043,1.1084313439298142e-15,1.0058643708248424e-13,6.98751475659307e-11
5,0.043,4.3628855221807324e-16,5.1780288573185097e-14,4.467821949296743e-11
6,0.043,1.731231781662527e-16,2.7575313564452033e-14,3.107263069855912e-11
7,0.043,8.609114298635468e-17,1.51767353781556e-14,2.291389737705959e-11
8,0.043,5.854708662781342e-17,8.798008355584764e-15,1.764095175160296e-11
9,0.043,4.745765813494079e-17,5.539996844748656e-15,1.4032419162617271e-11
10,0.043,4.1505271324225534e-17,3.884083441530794e-15,1.1448323895203123e-11
11,0.043,3.8273896445807546e-17,3.0246929397322994e-15,9.535296668277091e-12
12,0.043,3.667408233369146e-17,2.5459542443057775e-15,8.075525136329669e-12
13,0.043,3.5890995233186373e-17,2.242119447857771e-15,6.936072630410569e-12
14,0.043,3.5540487327701006e-17,2.0179519115051743e-15,6.028840126385087e-12
15,0.043,3.5525372356493046e-17,1.836519090618867e-15,5.294914431143401e-12
16,0.043,3.577665555236878e-17,1.6856742728314273e-15,4.69134434990064e-12
17,0.043,3.620829461427314e-17,1.558434248462323e-15,4.189723328907361e-12
18,0.043,3.673646514405935e-17,1.451987677630703e-15,3.767091500084061e-12
19,0.043,3.732669058289547e-17,1.3610094361793057e-15,3.4082039950254455e-12
20,0.043,3.7958574206709994e-17,1.279411990863673e-15,3.1005596335657e-12
21,0.043,3.861665387766549e-17,1.2018558028295284e-15,2.835020060708938e-12
22,0.043,3.9289334128718743e-17,1.1238429862917144e-15,2.6038345614683366e-12
23,0.043,3.997555158976923e-17,1.0434942733513623e-15,2.4014401557233915e-12
24,0.043,4.0676948232018026e-17,9.602577195226352e-16,2.223102172704177e-12
25,0.043,4.1395455294929877e-17,8.76272056085525e-16,2.065211444176763e-12
26,0.043,4.213224905073244e-17,7.939366615648183e-16,1.924610796035445e-12
27,0.043,4.288519663444115e-17,7.140028276986532e-16,1.798825528151421e-12
28,0.043,4.36515825288949e-17,6.366420479377007e-16,1.6857045495986084e-12
29,0.043,4.442966974543859e-17,5.613547093694212e-16,1.5837087322848962e-12
30,0.043,4.5217965927543646e-17,4.874734224904711e-16,1.491451938826668e-12
31,0.043,4.601505143494515e-17,4.144401769734299e-16,1.4076341061791305e-12
32,0.043,4.681979749243267e-17,3.421344791945668e-16,1.3312994686527856e-12
33,0.043,4.763114804105942e-17,2.705452147060741e-16,1.2615783348969608e-12
34,0.043,4.8448026554793964e-17,1.9971297348300914e-16,1.1976529941711044e-12
35,0.043,4.926927463926628e-17,1.2988516319189403e-16,1.1389136581751503e-12
36,0.043,5.00937134330217e-17,6.136089592211639e-17,1.0848025192191544e-12
37,0.043,5.092013787893397e-17,-5.6277336563242156e-18,1.0347979570584006e-12
38,0.043,5.1747238137190595e-17,-7.111670055098252e-17,9.885231012290869e-13
39,0.043,5.2573678172307483e-17,-1.3520899718880252e-16,9.4563726871264e-13
40,0.043,5.3398121948800583e-17,-1.98007615996727e-16,9.057997764904861e-13
41,0.043,5.421944402888362e-17,-2.59621802299166e-16,8.686925118835024e-13
42,0.043,5.503736136556162e-17,-3.2018581301039384e-16,8.340876435703703e-13
43,0.043,5.585180150953738e-17,-3.7984015794215136e-16,8.017799105692221e-13
44,0.043,5.666269201151375e-17,-4.387253469061794e-16,7.715640518981901e-13
45,0.043,5.746974742504243e-17,-4.969444791114899e-16,7.432470981258711e-13
46,0.043,5.827183031507059e-17,-5.544510113561811e-16,7.166852460227235e-13
47,0.043,5.906759024939429e-17,-6.1116098983562345e-16,6.917469839096704e-13
48,0.043,5.98556767958096e-17,-6.669904607451864e-16,6.68300800107635e-13
49,0.043,6.063473952211255e-17,-7.218554702802402e-16,6.462151829375402e-13
50,0.043,6.140358647886454e-17,-7.756866667368634e-16,6.253684455534254e-13
2,0.0468,5.604568562627451e-15,5.663499438401729e-13,2.928457809156456e-10
3,0.0468,2.963708185782448e-15,2.167111441861281e-13,1.2545548630419832e-10
4,0.0468,1.3765699653628806e-15,1.0474174589000501e-13,6.974563839275482e-11
5,0.0468,5.689306075977493e-16,5.4903878700310266e-14,4.4545149531347934e-11
6,0.0468,2.2724672717171636e-16,2.9745230598948524e-14,3.0948705289859205e-11
7,0.0468,1.0580753495431451e-16,1.6585877428961794e-14,2.2803679839063035e-11
8,0.0468,6.66628886092392e-17,9.658120717409454e-15,1.7545023356767085e-11
9,0.0468,5.202601231993638e-17,6.038081150900365e-15,1.3949919441739336e-11
10,0.0468,4.438569380058994e-17,4.16417088511057e-15,1.1377549308060897e-11
11,0.0468,3.99844687027914e-17,3.185005811125981e-15,9.474421674000654e-12
12,0.0468,3.7700387759042384e-17,2.645785880782201e-15,8.022965280591234e-12
13,0.0468,3.657334706188852e-17,2.3128983674277996e-15,6.8903401887210894e-12
14,0.0468,3.598180020085564e-17,2.073044515185637e-15,5.988771528987406e-12
15,0.0468,3.572767931312911e-17,1.8791213322549126e-15,5.2595222570820606e-12
16,0.0468,3.578133160527909e-17,1.7149379841209786e-15,4.659879867264885e-12
17,0.0468,3.609189107451053e-17,1.5734773638017534e-15,4.1615256171165005e-12
18,0.0468,3.655750931396421e-17,1.4541418465096475e-15,3.741694991984527e-12
19,0.0468,3.7116370523057995e-17,1.3535391301817363e-15,3.3852166297900507e-12
20,0.0468,3.772651131127342e-17,1.2669133327039885e-15,3.0796251442749415e-12
21,0.0468,3.837111438766755e-17,1.1885833668473214e-15,2.815842732993455e-12
22,0.0468,3.9039829898299604e-17,1.1130916252992104e-15,2.5861801465705846e-12
23,0.0468,3.972303163766175e-17,1.0367996255284182e-15,2.3851147641018987e-12
24,0.0468,4.041410754053562e-17,9.57381465453729e-16,2.207945978385596e-12
25,0.0468,4.1117778454427706e-17,8.759424400127225e-16,2.0510946085598137e-12
26,0.0468,4.1839918299258396e-17,7.9430245271924975e-16,1.91142902519358e-12
27,0.0468,4.2579680371878666e-17,7.137086443734537e-16,1.7864863782395447e-12
28,0.0468,4.333466451502417e-17,6.350741758126026e-16,1.6741242073542111e-12
29,0.0468,4.410297737803877e-17,5.585490507361724e-16,1.5728128316258735e-12
30,0.0468,4.4882852311918347e-17,4.840924835591914e-16,1.4811757650007757e-12
31,0.0468,4.5672557310238233e-17,4.115786096352691e-16,1.3979216997046504e-12
32,0.0468,4.647049893689148e-17,3.4054124807234164e-16,1.3221000410811858e-12
33,0.0468,4.72751183983506e-17,2.704291389169272e-16,1.2528453727535616e-12
34,0.0468,4.808498915063467e-17,2.0081823775416753e-16,1.1893445893512505e-12
35,0.0468,4.889921364794908e-17,1.3179336232370133e-16,1.1309938295289015e-12
36,0.0468,4.971702659404585e-17,6.356654590379222e-17,1.0772415429474586e-12
37,0.0468,5.053750304425099e-17,-3.65543086737266e-18,1.0275715179874519e-12
38,0.0468,5.135907946018647e-17,-6.968679791190958e-17,9.816088979077602e-13
39,0.0468,5.218003265504829e-17,-1.3434703779201032e-16,9.390141646868487e-13
40,0.0468,5.2998639442032466e-17,-1.9745563306986804e-16,8.994478003031824e-13
41,0.0468,5.3813523703350926e-17,-2.5891736568711654e-16,8.625929173065098e-13
42,0.0468,5.462469759727946e-17,-3.18978215103159e-16,8.282231505317095e-13
43,0.0468,5.5432520351109796e-17,-3.7796946015684074e-16,7.961347653849433e-13
44,0.0468,5.623735119213367e-17,-4.362223796870068e-16,7.661240272723731e-13
45,0.0468,5.703919680193941e-17,-4.939838888587143e-16,7.379993610865343e-13
46,0.0468,5.783665367930172e-17,-5.511634481418664e-16,7.116178296654591e-13
47,0.0468,5.862796577729193e-17,-6.075861543325768e-16,6.868486553335538e-13
48,0.0468,5.941137704898131e-17,-6.630771042269605e-16,6.635610604152245e-13
49,0.0468,6.01851314474412e-17,-7.174613946211312e-16,6.416242672348776e-13
50,0.0468,6.094774899801297e-17,-7.706097789966368e-16,6.209173565270673e-13
2,0.0505,6.1222075364631826e-15,5.703702195530044e-13,2.930156691675172e-10
3,0.0505,3.403168045351912e-15,2.2086494165538697e-13,1.253710753322637e-10
4,0.0505,1.6621066491943686e-15,1.0833954089617103e-13,6.963113513551094e-11
5,0.0505,7.195547206479882e-16,5.767462640011387e-14,4.442303749040832e-11
6,0.0505,2.9305392603769523e-16,3.17185853208198e-14,3.083347181499565e-11
7,0.0505,1.3079421733997617e-16,1.7897611948010954e-14,2.2700419695341748e-11
8,0.0505,7.651164373944418e-17,1.0474310744361532e-14,1.7454533791042967e-11
9,0.0505,5.722941135222442e-17,6.517111752356333e-15,1.3871615559806291e-11
10,0.0505,4.774851709695481e-17,4.434379843680691e-15,1.1310096555788276e-11
11,0.0505,4.2068956386963795e-17,3.3382537593044545e-15,9.416185489617907e-12
12,0.0505,3.8929070886556613e-17,2.7397369944727514e-15,7.972554756788276e-12
13,0.0505,3.737107924806874e-17,2.3794160845766896e-15,6.846403773077125e-12
14,0.0505,3.655396480593255e-17,2.127092286999996e-15,5.950245480166226e-12
15,0.0505,3.609279289837511e-17,1.923895536483667e-15,5.2254948020462305e-12
16,0.0505,3.59188237598777e-17,1.7495418868996734e-15,4.629626397367556e-12
17,0.0505,3.605519574939792e-17,1.5964231770989445e-15,4.134428797166632e-12
18,0.0505,3.642258574762119e-17,1.4641878047744174e-15,3.717292680153605e-12
19,0.0505,3.693204742758448e-17,1.3522124293046413e-15,3.363120222881239e-12
20,0.0505,3.751204376771161e-17,1.2584081350156652e-15,3.059495160992031e-12
21,0.0505,3.813874243859462e-17,1.1767596801662815e-15,2.797400555857194e-12
22,0.0505,3.8799805124906296e-17,1.1008612481509916e-15,2.5692057244641825e-12
23,0.0505,3.9481164875474315e-17,1.0266710489743832e-15,2.369425680536684e-12
24,0.0505,4.0170975995662133e-17,9.51282837177752e-16,2.19339039249043e-12
25,0.0505,4.0868006452821637e-17,8.739685188391345e-16,2.037543950773097e-12
26,0.0505,4.157447242150946e-17,7.948093922404069e-16,1.898775137667754e-12
27,0.0505,4.229576924311292e-17,7.149461729420662e-16,1.7746373807670983e-12
28,0.0505,4.3036412938543996e-17,6.356698886245431e-16,1.6630022507530665e-12
29,0.0505,4.379422307998276e-17,5.578133981693872e-16,1.5623492453549223e-12
30,0.0505,4.456534512742627e-17,4.820950182584302e-16,1.4713098440637614e-12
31,0.0505,4.534637190597111e-17,4.090079063287217e-16,1.388599936436183e-12
32,0.0505,4.6135685701111824e-17,3.381445828381945e-16,1.3132730522907986e-12
33,0.0505,4.6932116163442484e-17,2.68872409000002e-16,1.2444671315117233e-12
34,0.0505,4.7734543035687e-17,2.0062090257559548e-16,1.1813730071782994e-12
35,0.0505,4.85420464290887e-17,1.3306820751962325e-16,1.1233930851507779e-12
36,0.0505,4.9353756547020767e-17,6.595462433503263e-17,1.069982664484637e-12
37,0.0505,5.016862224108017e-17,-8.604288020877952e-19,1.020631446695113e-12
38,0.0505,5.0984866955759084e-17,-6.704106302308184e-17,9.749667431364688e-13
39,0.0505,5.1800532783773484e-17,-1.321322717861521e-16,9.326502676227253e-13
40,0.0505,5.2613661817839324e-17,-1.9567904854950058e-16,8.933437339679033e-13
41,0.0505,5.342270840532094e-17,-2.573636095000619e-16,8.567314623611899e-13
42,0.0505,5.422777591217611e-17,-3.17417061739699e-16,8.225881984924399e-13
43,0.0505,5.5029379959010977e-17,-3.7620773509900724e-16,7.907112944266746e-13
44,0.0505,5.582803616643167e-17,-4.341039594085821e-16,7.608981022289154e-13
45,0.0505,5.662386790541126e-17,-4.913899282164751e-16,7.329581099142712e-13
46,0.0505,5.741542954839043e-17,-5.480132899405639e-16,7.067493492982001e-13
47,0.0505,5.820088321817683e-17,-6.038375567161822e-16,6.821419881462485e-13
48,0.0505,5.897839103757804e-17,-6.587262406786646e-16,6.590061942239616e-13
49,0.0505,5.974611512940172e-17,-7.125428539633447e-16,6.372121352968855e-13
50,0.0505,6.050250436480607e-17,-7.651875378047837e-16,6.166397876011305e-13
2,0.0561,6.89442771962987e-15,5.735167058206061e-13,2.928655218520893e-10
3,0.0561,4.0912817895324044e-15,2.2607936127036375e-13,1.2525598763308152e-10
4,0.0561,2.1352060340972948e-15,1.1306273336143732e-13,6.946372153653344e-11
5,0.0561,9.8694970800471e-16,6.144065426931398e-14,4.4248670685100565e-11
6,0.0561,4.192956747484251e-16,3.4474640447172583e-14,3.066828986680176e-11
7,0.0561,1.8187397166375765e-16,1.9776556859511818e-14,2.255106066974454e-11
8,0.0561,9.634411166642487e-17,1.1669577374590346e-14,1.7322728943143518e-11
9,0.0561,6.677913873463838e-17,7.227740085038828e-15,1.375679962083324e-11
10,0.0561,5.3856015205229404e-17,4.8346123344629295e-15,1.121070125210789e-11
11,0.0561,4.6104140960018947e-17,3.559828112559455e-15,9.33001253465889e-12
12,0.0561,4.135665256985346e-17,2.870302346984309e-15,7.897743626212867e-12
13,0.0561,3.884889720796627e-17,2.470092030788335e-15,6.78108455708035e-12
14,0.0561,3.7612203136584416e-17,2.202194391426216e-15,5.892863961412418e-12
15,0.0561,3.6899484635851526e-17,1.9918726762662007e-15,5.174777287405983e-12
16,0.0561,3.6426616347456166e-17,1.8089933831150196e-15,4.584480308943328e-12
17,0.0561,3.623219974106374e-17,1.6424381656756618e-15,4.0940023163024574e-12
18,0.0561,3.635088195692087e-17,1.4937133131332174e-15,3.680883577424096e-12
19,0.0561,3.6709976728111826e-17,1.3644998755047694e-15,3.3301369135278462e-12
20,0.0561,3.7219299361944574e-17,1.2550274423626022e-15,3.029449489659166e-12
21,0.0561,3.781569940815901e-17,1.1623061277689758e-15,2.769888755651792e-12
22,0.0561,3.8451831531790956e-17,1.0821666537917373e-15,2.543898730146018e-12
23,0.0561,3.9116536616628014e-17,1.0089416500311023e-15,2.3460494222200933e-12
24,0.0561,3.9805305749889914e-17,9.373549963821928e-16,2.1717166765376327e-12
25,0.0561,4.0504044613773236e-17,8.6519366638737805e-16,2.017373689665765e-12
26,0.0561,4.120086549552255e-17,7.91264852346651e-16,1.879935539309199e-12
27,0.0561,4.190229250759768e-17,7.153935279432585e-16,1.7569874758194605e-12
28,0.0561,4.2617631326762154e-17,6.378851733754728e-16,1.646430303072244e-12
29,0.0561,4.334890206177902e-17,5.599495135184149e-16,1.5467568663931114e-12
30,0.0561,4.40963034294112e-17,4.830223344164199e-16,1.4566080214700906e-12
31,0.0561,4.485944190706561e-17,4.083000603956632e-16,1.374708536073554e-12
32,0.0561,4.5635555014725185e-17,3.3602166890968653e-16,1.3001188263032473e-12
33,0.0561,4.6421288033016834e-17,2.6618677569387247e-16,1.231983220341261e-12
34,0.0561,4.7213660546889866e-17,1.9865346780889895e-16,1.1694991824751772e-12
35,0.0561,4.801118935858321e-17,1.3271371761662644e-16,1.1120767214145476e-12
36,0.0561,4.881276557465818e-17,6.751796880420986e-17,1.059178981974416e-12
37,0.0561,4.9617204719146243e-17,2.417204379585213e-18,1.0103027281358564e-12
38,0.0561,5.042301998595936e-17,-6.243543536618738e-17,9.650792005440632e-13
39,0.0561,5.1228648986479625e-17,-1.266862708212667e-16,9.231732590102608e-13
40,0.0561,5.2032529332089146e-17,-1.8998162237381192e-16,8.842497633456735e-13
41,0.0561,5.283334936630721e-17,-2.5203160210639626e-16,8.479959045368569e-13
42,0.0561,5.363080036120188e-17,-3.1280148887925023e-16,8.14188198271692e-13
43,0.0561,5.4424824320978416e-17,-3.723203532470181e-16,7.826254914133902e-13
44,0.0561,5.521536324984207e-17,-4.3061726576434467e-16,7.531066308251631e-13
45,0.0561,5.600214801008491e-17,-4.877259050145208e-16,7.254425474626306e-13
46,0.0561,5.678406489634629e-17,-5.436983816954229e-16,6.994925086510441e-13
47,0.0561,5.755978906135244e-17,-5.98591414533573e-16,6.751278658080633e-13
48,0.0561,5.832799565782949e-17,-6.52461722255494e-16,6.522199703513474e-13
49,0.0561,5.908735983850365e-17,-7.053660235877081e-16,6.306401736985555e-13
